Model,Sales_in_thousands,year_resale_value,Engine_size,Horsepower,Wheelbase,Curb_weight,Fuel_capacity,Fuel_efficiency,PC1,PC2,x,y,attributes,MDS1,MDS2,cluster
Acura Integra,16.9,16.4,1.8,140,101.2,2.6,13.2,28,2.69440055,-0.565402513,0.000806346,0.553949438,Sales_in_thousands,-73.0475146,-1.995108766,0
Acura TL,39.4,19.9,3.2,225,108.1,3.5,17.2,25,0.031677805,-0.576909375,-0.146423287,-0.501176626,year_resale_value,9.103386024,35.64578038,0
Acura CL,14.1,18.2,3.2,225,106.9,3.5,17.2,26,0.189762358,-0.772017853,-0.429001359,-0.153552982,Engine_size,-7.568762506,54.92165189,2
Acura RL,8.6,29.7,3.5,210,114.6,3.9,18,22,-0.978290454,-0.594690977,-0.361897002,-0.409849848,Horsepower,-23.88332037,53.09054231,0
Audi A4,20.4,22.3,1.8,150,102.6,3,16.4,27,1.818597344,-0.524566882,-0.318718698,0.453093737,Wheelbase,-63.52994945,1.907312025,0
Audi A6,18.8,23.6,2.8,200,108.7,3.6,18.5,22,-0.214000269,-0.490389743,-0.441888206,0.110951308,Curb_weight,-23.40205249,36.80617152,0
Audi A8,1.4,39,4.2,310,113,3.9,23.7,21,-2.589388298,-1.584029416,-0.428368807,0.175289353,Fuel_capacity,51.93283689,122.0976811,2
BMW 323i,19.7,0,2.5,170,107.3,3.2,16.6,26,1.22792105,0.326503401,0.428020252,-0.045564342,Fuel_efficiency,-49.53711654,14.34469278,0
BMW 328i,9.2,28.7,2.8,193,107.3,3.2,16.6,24,0.487814257,-0.935171104,,,,-36.4161972,41.42855346,0
BMW 528i,17.5,36.1,2.8,193,111.4,3.5,18.5,25,-0.050390576,-0.791699628,,,,-31.87581397,36.78192086,0
Buick Century,91.6,12.5,3.1,175,109,3.4,17.5,25,0.450133457,0.455848235,,,,3.367683133,-36.4436685,0
Buick Regal,39.4,13.7,3.8,240,109,3.5,17.5,23,-0.483450756,-0.462838749,,,,20.79827002,44.44159871,2
Buick Park Avenue,27.9,20.2,3.8,205,113.8,3.8,18.5,24,-0.731582388,-0.189489305,,,,-13.13751774,31.80974375,0
Buick LeSabre,83.3,13.4,3.8,205,112.2,3.6,17.5,25,-0.265741907,0.269379816,,,,21.27520845,-10.98074058,0
Cadillac DeVille,63.7,22.5,4.6,275,115.3,4,18.5,22,-1.868050677,-0.471809851,,,,63.57530423,48.4814202,2
Cadillac Seville,15.9,27.1,4.6,275,112.2,4,18.5,22,-1.79776343,-1.140741855,,,,32.90776716,86.32037724,2
Cadillac Eldorado,6.5,25.7,4.6,275,108,3.8,19,22,-1.543611031,-1.39730029,,,,25.2894623,94.22748006,2
Cadillac Catera,11.2,18.2,3,200,107.4,3.8,18,22,-0.266305084,-0.440946174,,,,-29.11294128,41.98860209,0
Cadillac Escalade,14.8,0,5.7,255,117.5,5.6,30,15,-4.977455016,0.91385674,,,,18.59953344,73.97736616,2
Chevrolet Cavalier,145.5,9.3,2.2,115,104.1,2.7,14.3,27,2.376876321,0.94564313,,,,-8.300455067,-116.4885157,1
Chevrolet Malibu,135.1,11.2,3.1,170,107,3.1,15,25,1.035603559,0.577868165,,,,27.25373676,-72.97446014,1
Chevrolet Lumina,24.6,10.3,3.1,175,107.5,3.3,16.6,25,0.691276972,-0.079904084,,,,-40.16740036,14.50446636,0
Chevrolet Monte Carlo,42.6,11.5,3.4,180,110.5,3.3,17,27,0.566990527,0.089564565,,,,-23.72059056,3.965170469,0
Chevrolet Camaro,26.4,13,3.8,200,101.1,3.5,16.8,25,0.331471387,-0.734266888,,,,-19.65823179,28.8348426,0
Chevrolet Corvette,17.9,36.2,5.7,345,104.5,3.2,19.1,22,-1.977440224,-2.602589635,,,,89.58588965,130.0990723,2
Chevrolet Prizm,32.3,9.1,1.8,120,97.1,2.4,13.2,33,3.655989419,-0.368272364,,,,-78.91814646,-27.04591654,0
Chevrolet Metro,21.9,5.2,1,55,93.1,1.9,10.3,45,6.334014052,-0.296432415,,,,-136.4130529,-61.00408455,0
Chevrolet Impala,108,0,3.4,180,110.5,3.4,17,27,0.619115633,0.974894588,,,,17.44144629,-47.11814165,0
Dodge Neon,76,7.8,2,132,105,2.6,12.5,29,2.779600438,0.348936991,,,,-40.4153204,-52.66678394,0
Dodge Avenger,4.7,12.5,2.5,163,103.7,2.9,15.9,24,1.362528938,-0.426191682,,,,-62.94805276,22.62067904,0
Dodge Stratus,71.2,10.2,2.5,168,108,3.1,16,24,1.049101131,0.363205846,,,,-15.03407862,-25.65083152,0
Dodge Intrepid,88,12.3,2.7,202,113,3.5,17,24,0.181802414,0.528747138,,,,22.01384328,-16.52492309,0
Dodge Viper,0.9,58.5,8,450,96.2,3.4,19,16,-4.107293423,-4.903775572,,,,156.0879613,215.729538,2
Dodge Ram Pickup,227.1,15.1,5.2,230,138.7,4.5,26,17,-4.245287422,2.901478452,,,,136.9588665,-103.8385891,1
Dodge Ram Wagon,16.8,15.5,3.9,175,109.6,4.2,32,15,-2.937676417,0.606446759,,,,-45.8601789,22.89728886,0
Dodge Ram Van,31,13.4,3.9,175,127.2,4.3,32,16,-3.557190791,1.739974317,,,,-33.3505457,9.98866273,0
Dodge Dakota,111.3,11.3,2.5,120,131,3.6,22,19,-0.992619765,2.578407692,,,,-25.61343684,-89.42926098,0
Dodge Durango,101.3,0,5.2,230,115.7,4.4,25,17,-3.043437179,1.23341704,,,,53.65925787,-9.746007329,0
Dodge Caravan,181.7,12,2.4,150,113.3,3.5,20,24,0.286509011,1.749894814,,,,42.96646956,-121.1141865,1
Ford Escort,70.2,7.4,2,110,98.4,2.5,12.7,30,3.308709212,0.097484301,,,,-61.65152101,-62.34447884,0
Ford Mustang,113.4,12.8,3.8,190,101.3,3.2,15.7,24,0.608729753,-0.117479523,,,,28.68875844,-43.78664616,0
Ford Contour,35.1,8.8,2.5,170,106.5,2.8,15,25,1.509221896,-0.042740745,,,,-37.40027654,2.793600054,0
Ford Taurus,245.8,10.1,3,155,108.5,3.4,16,24,0.7192325,1.704671933,,,,87.10735047,-167.2517165,1
Ford Focus,175.7,10,2,107,103,2.6,13.2,30,3.006537606,1.063663175,,,,4.608019083,-144.8030938,1
